Algoritmo,MPE,MSE,RMSE,MAE
globalavarege,1.000000,1.921213,1.386078,1.216347
itemknn,1.000000,2.058522,1.434755,1.261886
mostpopular,1.000000,2.058522,1.434755,1.261886
slopeone,0.896175,2.666724,1.633011,1.259861
userknn,0.994536,2.292215,1.514006,1.306181
