Algoritmo,MPE,MSE,RMSE,MAE
globalavarege,0.994536,2.292215,1.514006,1.306181
itemknn,0.994536,2.292215,1.514006,1.306181
mostpopular,0.994536,2.292215,1.514006,1.306181
slopeone,0.918774,1.250714,1.118353,0.838450
userknn,0.984325,0.889374,0.943066,0.735755
